package,component,fname
AcademicThemes,scale,scale_colour_academic_c
AcademicThemes,scale,scale_colour_academic_d
AcademicThemes,scale,scale_fill_academic_c
AcademicThemes,scale,scale_fill_academic_d
add2ggplot,theme,theme_classic2
add2ggplot,theme,theme_du_bois
add2ggplot,theme,theme_grey_and_red
add2ggplot,theme,theme_ilo
add2ggplot,theme,theme_white
afcharts,scale,scale_colour_continuous_af
afcharts,scale,scale_colour_discrete_af
afcharts,scale,scale_fill_continuous_af
afcharts,scale,scale_fill_discrete_af
afcharts,theme,theme_af
agricolaeplotr,theme,theme_gi
agricolaeplotr,theme,theme_poster
agricolaeplotr,theme,theme_pres
AgroReg,stat,stat_param
aRtsy,theme,theme_canvas
autograph,geom,geom_point
autograph,geom,geom_smooth
autograph,scale,scale_color_centres
autograph,scale,scale_color_ethz
autograph,scale,scale_color_iheid
autograph,scale,scale_color_rug
autograph,scale,scale_color_sdgs
autograph,scale,scale_color_uzh
autograph,scale,scale_colour_centres
autograph,scale,scale_colour_ethz
autograph,scale,scale_colour_hue
autograph,scale,scale_colour_iheid
autograph,scale,scale_colour_rug
autograph,scale,scale_colour_sdgs
autograph,scale,scale_colour_uzh
autograph,scale,scale_edge_color_centres
autograph,scale,scale_edge_color_ethz
autograph,scale,scale_edge_color_iheid
autograph,scale,scale_edge_color_rug
autograph,scale,scale_edge_color_sdgs
autograph,scale,scale_edge_color_uzh
autograph,scale,scale_edge_colour_centres
autograph,scale,scale_edge_colour_ethz
autograph,scale,scale_edge_colour_iheid
autograph,scale,scale_edge_colour_rug
autograph,scale,scale_edge_colour_sdgs
autograph,scale,scale_edge_colour_uzh
autograph,scale,scale_fill_centres
autograph,scale,scale_fill_ethz
autograph,scale,scale_fill_iheid
autograph,scale,scale_fill_rug
autograph,scale,scale_fill_sdgs
autograph,scale,scale_fill_uzh
autograph,scale,scale_size
autograph,scale,scale_x_continuous
autograph,theme,theme_grey
barrel,stat,stat_barrel
barrel,stat,stat_barrel_annotate
barrel,stat,stat_barrel_arrows
barrel,stat,stat_barrel_centroid
bayesplot,facet,facet_bg
bayesplot,facet,facet_text
bayesplot,theme,theme_default
BayesTools,geom,geom_prior
BayesTools,geom,geom_prior_list
bdscale,scale,scale_x_bd
beezdemand,theme,theme_apa
bigstatsr,theme,theme_bigstatsr
BioTIMEr,scale,scale_color_biotime
BioTIMEr,scale,scale_colour_biotime
BioTIMEr,scale,scale_fill_biotime
BioVizSeq,geom,geom_rrect
