package,component,fname,dep_type
AcademicThemes,scale,scale_colour_academic_c,imports or depends
AcademicThemes,scale,scale_colour_academic_d,imports or depends
AcademicThemes,scale,scale_fill_academic_c,imports or depends
AcademicThemes,scale,scale_fill_academic_d,imports or depends
add2ggplot,theme,theme_classic2,imports or depends
add2ggplot,theme,theme_du_bois,imports or depends
add2ggplot,theme,theme_grey_and_red,imports or depends
add2ggplot,theme,theme_ilo,imports or depends
add2ggplot,theme,theme_white,imports or depends
afcharts,scale,scale_colour_continuous_af,imports or depends
afcharts,scale,scale_colour_discrete_af,imports or depends
afcharts,scale,scale_fill_continuous_af,imports or depends
afcharts,scale,scale_fill_discrete_af,imports or depends
afcharts,theme,theme_af,imports or depends
agricolaeplotr,theme,theme_gi,imports or depends
agricolaeplotr,theme,theme_poster,imports or depends
agricolaeplotr,theme,theme_pres,imports or depends
AgroReg,stat,stat_param,imports or depends
aRtsy,theme,theme_canvas,imports or depends
autograph,geom,geom_point,imports or depends
autograph,geom,geom_smooth,imports or depends
autograph,scale,scale_color_centres,imports or depends
autograph,scale,scale_color_ethz,imports or depends
autograph,scale,scale_color_iheid,imports or depends
autograph,scale,scale_color_rug,imports or depends
autograph,scale,scale_color_sdgs,imports or depends
autograph,scale,scale_color_uzh,imports or depends
autograph,scale,scale_colour_centres,imports or depends
autograph,scale,scale_colour_ethz,imports or depends
autograph,scale,scale_colour_hue,imports or depends
autograph,scale,scale_colour_iheid,imports or depends
autograph,scale,scale_colour_rug,imports or depends
autograph,scale,scale_colour_sdgs,imports or depends
autograph,scale,scale_colour_uzh,imports or depends
autograph,scale,scale_edge_color_centres,imports or depends
autograph,scale,scale_edge_color_ethz,imports or depends
autograph,scale,scale_edge_color_iheid,imports or depends
autograph,scale,scale_edge_color_rug,imports or depends
autograph,scale,scale_edge_color_sdgs,imports or depends
autograph,scale,scale_edge_color_uzh,imports or depends
autograph,scale,scale_edge_colour_centres,imports or depends
autograph,scale,scale_edge_colour_ethz,imports or depends
autograph,scale,scale_edge_colour_iheid,imports or depends
autograph,scale,scale_edge_colour_rug,imports or depends
autograph,scale,scale_edge_colour_sdgs,imports or depends
autograph,scale,scale_edge_colour_uzh,imports or depends
autograph,scale,scale_fill_centres,imports or depends
autograph,scale,scale_fill_ethz,imports or depends
autograph,scale,scale_fill_iheid,imports or depends
autograph,scale,scale_fill_rug,imports or depends
autograph,scale,scale_fill_sdgs,imports or depends
autograph,scale,scale_fill_uzh,imports or depends
autograph,scale,scale_size,imports or depends
autograph,scale,scale_x_continuous,imports or depends
autograph,theme,theme_grey,imports or depends
barrel,stat,stat_barrel,imports or depends
barrel,stat,stat_barrel_annotate,imports or depends
barrel,stat,stat_barrel_arrows,imports or depends
barrel,stat,stat_barrel_centroid,imports or depends
bayesplot,facet,facet_bg,imports or depends
bayesplot,facet,facet_text,imports or depends
bayesplot,theme,theme_default,imports or depends
BayesTools,geom,geom_prior,imports or depends
BayesTools,geom,geom_prior_list,imports or depends
bdscale,scale,scale_x_bd,imports or depends
beezdemand,theme,theme_apa,imports or depends
bigstatsr,theme,theme_bigstatsr,imports or depends
BioTIMEr,scale,scale_color_biotime,imports or depends
BioTIMEr,scale,scale_colour_biotime,imports or depends
BioTIMEr,scale,scale_fill_biotime,imports or depends
BioVizSeq,geom,geom_rrect,imports or depends
BiVariAn,theme,theme_serene,imports or depends
BiVariAn,theme,theme_serene_void,imports or depends
braidReports,geom,geom_braid,imports or depends
braidReports,geom,geom_braid_contour,imports or depends
braidReports,geom,geom_braid_glass,imports or depends
braidReports,geom,geom_braid_smooth,imports or depends
braidReports,stat,stat_braid,imports or depends
braidReports,stat,stat_braid_contour,imports or depends
braidReports,stat,stat_braid_glass,imports or depends
braidReports,stat,stat_braid_smooth,imports or depends
braidReports,scale,scale_x_kappa,imports or depends
braidReports,scale,scale_y_kappa,imports or depends
brandr,scale,scale_brand,imports or depends
brandr,scale,scale_color_brand_b,imports or depends
brandr,scale,scale_color_brand_c,imports or depends
brandr,scale,scale_color_brand_d,imports or depends
brandr,scale,scale_colour_brand_b,imports or depends
brandr,scale,scale_colour_brand_c,imports or depends
brandr,scale,scale_colour_brand_d,imports or depends
brandr,scale,scale_fill_brand_b,imports or depends
brandr,scale,scale_fill_brand_c,imports or depends
brandr,scale,scale_fill_brand_d,imports or depends
brms,theme,theme_black,imports or depends
brms,theme,theme_default,imports or depends
brolgar,facet,facet_sample,imports or depends
brolgar,facet,facet_strata,imports or depends
broman,theme,theme_karl,imports or depends
bruceR,theme,theme_bruce,imports or depends
bupaR,scale,scale_color_continuous_bupaR,imports or depends
bupaR,scale,scale_color_discrete_bupaR,imports or depends
bupaR,scale,scale_color_gradient2_bupaR,imports or depends
bupaR,scale,scale_color_gradient_bupaR,imports or depends
bupaR,scale,scale_fill_continuous_bupaR,imports or depends
bupaR,scale,scale_fill_discrete_bupaR,imports or depends
bupaR,scale,scale_fill_gradient2_bupaR,imports or depends
bupaR,scale,scale_fill_gradient_bupaR,imports or depends
bvhar,geom,geom_eval,imports or depends
callback,stat,stat_colsums,imports or depends
callback,stat,stat_ecs,imports or depends
callback,stat,stat_mcr,imports or depends
callback,stat,stat_paired,imports or depends
callback,stat,stat_raw,imports or depends
callback,stat,stat_signif,imports or depends
callback,stat,stat_tcs,imports or depends
campfin,scale,scale_x_truncate,imports or depends
campfin,scale,scale_x_wrap,imports or depends
canadianmaps,geom,geom_cd,imports or depends
canadianmaps,geom,geom_csd,imports or depends
canadianmaps,geom,geom_fsa,imports or depends
canadianmaps,geom,geom_hr,imports or depends
canadianmaps,geom,geom_prov,imports or depends
canadianmaps,geom,geom_reg,imports or depends
canadianmaps,scale,scale_color_map,imports or depends
canadianmaps,scale,scale_fill_map,imports or depends
canadianmaps,coord,coord_transform,imports or depends
canadianmaps,theme,theme_map,imports or depends
canadianmaps,theme,theme_wallis,imports or depends
cartographr,theme,theme_infomap,imports or depends
cartographr,theme,theme_infomap_anton,imports or depends
cartographr,theme,theme_infomap_barlow,imports or depends
cartographr,theme,theme_infomap_cinzel,imports or depends
cartographr,theme,theme_infomap_poppins,imports or depends
cartographr,theme,theme_poster,imports or depends
cartographr,theme,theme_poster_anton,imports or depends
cartographr,theme,theme_poster_barlow,imports or depends
cartographr,theme,theme_poster_cinzel,imports or depends
cartographr,theme,theme_poster_poppins,imports or depends
Certara.DarwinReporter,theme,theme_certara,imports or depends
Certara.ModelResults,theme,theme_certara,imports or depends
Certara.VPCResults,theme,theme_certara,imports or depends
chameleon,scale,scale_color_chameleon,imports or depends
chameleon,scale,scale_fill_chameleon,imports or depends
ChauBoxplot,geom,geom_chau_boxplot,imports or depends
chessboard,geom,geom_edges,imports or depends
chessboard,geom,geom_neighbors,imports or depends
chessboard,geom,geom_node,imports or depends
childsds,scale,scale_colour_prs,imports or depends
childsds,scale,scale_colour_uchu,imports or depends
childsds,scale,scale_fill_prs,imports or depends
childsds,scale,scale_fill_uchu,imports or depends
chronochrt,geom,geom_chronochRt,imports or depends
chronochrt,geom,geom_chronochRtImage,imports or depends
chronochrt,theme,theme_chronochrt,imports or depends
cinaR,scale,scale_rows,imports or depends
CJIVE,scale,scale_loadings,imports or depends
cmstatr,geom,geom_jitter_failure_mode,imports or depends
cmstatr,stat,stat_esf,imports or depends
cmstatr,stat,stat_normal_surv_func,imports or depends
colormap,scale,scale_color_colormap,imports or depends
colormap,scale,scale_fill_colormap,imports or depends
ComplexUpset,geom,geom_venn_circle,imports or depends
ComplexUpset,geom,geom_venn_label_region,imports or depends
ComplexUpset,geom,geom_venn_label_set,imports or depends
ComplexUpset,geom,geom_venn_region,imports or depends
ComplexUpset,scale,scale_color_venn_mix,imports or depends
ComplexUpset,scale,scale_fill_venn_mix,imports or depends
ConFluxPro,scale,scale_min_median,imports or depends
coursekata,scale,scale_discrete_coursekata,imports or depends
coursekata,theme,theme_coursekata,imports or depends
cowplot,theme,theme_cowplot,imports or depends
cowplot,theme,theme_half_open,imports or depends
cowplot,theme,theme_map,imports or depends
cowplot,theme,theme_minimal_grid,imports or depends
cowplot,theme,theme_minimal_hgrid,imports or depends
cowplot,theme,theme_minimal_vgrid,imports or depends
cowplot,theme,theme_nothing,imports or depends
crayons,scale,scale_color_crayons,imports or depends
crayons,scale,scale_colour_crayons,imports or depends
crayons,scale,scale_fill_crayons,imports or depends
crimeutils,scale,scale_color_crim,imports or depends
crimeutils,scale,scale_fill_crim,imports or depends
crimeutils,scale,scale_linetype_crim,imports or depends
crimeutils,theme,theme_crim,imports or depends
cry,theme,theme_cry,imports or depends
cubble,geom,geom_glyph,imports or depends
cubble,geom,geom_glyph_box,imports or depends
cubble,geom,geom_glyph_line,imports or depends
cytofan,geom,geom_fan,imports or depends
cytofan,stat,stat_fan,imports or depends
DALEX,theme,theme_default_dalex,imports or depends
DALEX,theme,theme_drwhy,imports or depends
DALEX,theme,theme_drwhy_vertical,imports or depends
DALEX,theme,theme_ema,imports or depends
DALEX,theme,theme_ema_vertical,imports or depends
DALEX,theme,theme_vertical_default_dalex,imports or depends
dartR.base,theme,theme_dartR,imports or depends
DataVisualizations,stat,stat_pde_density,imports or depends
dcurves,geom,geom_line,imports or depends
dcurves,stat,stat_smooth,imports or depends
dcurves,scale,scale_x_continuous,imports or depends
dcurves,coord,coord_cartesian,imports or depends
dcurves,theme,theme_bw,imports or depends
deeptime,geom,geom_phylomorpho,imports or depends
deeptime,geom,geom_points_range,imports or depends
deeptime,geom,geom_text_phylo,imports or depends
deeptime,stat,stat_points_range,imports or depends
deeptime,scale,scale_color_geo,imports or depends
deeptime,scale,scale_colour_geo,imports or depends
deeptime,scale,scale_discrete_geo,imports or depends
deeptime,scale,scale_fill_geo,imports or depends
deeptime,scale,scale_fill_geopattern,imports or depends
deeptime,coord,coord_geo,imports or depends
deeptime,coord,coord_geo_polar,imports or depends
deeptime,coord,coord_geo_radial,imports or depends
deeptime,coord,coord_trans_flip,imports or depends
deeptime,coord,coord_trans_xy,imports or depends
deeptime,facet,facet_grid_color,imports or depends
deeptime,facet,facet_grid_geo,imports or depends
deeptime,facet,facet_nested_color,imports or depends
deeptime,facet,facet_nested_geo,imports or depends
deeptime,facet,facet_nested_wrap_color,imports or depends
deeptime,facet,facet_nested_wrap_geo,imports or depends
deeptime,facet,facet_wrap_color,imports or depends
deeptime,facet,facet_wrap_geo,imports or depends
deeptime,guide,guide_geo,imports or depends
dendextend,theme,theme_dendro,imports or depends
DescribeDisplay,geom,geom_axis,imports or depends
desplot,geom,geom_tileborder,imports or depends
diceplot,geom,geom_dice_sf,imports or depends
DImodelsVis,theme,theme_DI,imports or depends
discovr,scale,scale_color_amolad,imports or depends
discovr,scale,scale_color_bnw,imports or depends
discovr,scale,scale_color_dod,imports or depends
discovr,scale,scale_color_frontier,imports or depends
discovr,scale,scale_color_im,imports or depends
discovr,scale,scale_color_killers,imports or depends
discovr,scale,scale_color_nob,imports or depends
discovr,scale,scale_color_oi,imports or depends
discovr,scale,scale_color_pom,imports or depends
discovr,scale,scale_color_power,imports or depends
discovr,scale,scale_color_prayer,imports or depends
discovr,scale,scale_color_senjutsu,imports or depends
discovr,scale,scale_color_sit,imports or depends
discovr,scale,scale_color_ssoass,imports or depends
discovr,scale,scale_color_tol,imports or depends
discovr,scale,scale_color_virtual,imports or depends
discovr,scale,scale_colour_amolad,imports or depends
discovr,scale,scale_colour_bnw,imports or depends
discovr,scale,scale_colour_dod,imports or depends
discovr,scale,scale_colour_frontier,imports or depends
discovr,scale,scale_colour_im,imports or depends
discovr,scale,scale_colour_killers,imports or depends
discovr,scale,scale_colour_nob,imports or depends
discovr,scale,scale_colour_oi,imports or depends
discovr,scale,scale_colour_pom,imports or depends
discovr,scale,scale_colour_power,imports or depends
discovr,scale,scale_colour_prayer,imports or depends
discovr,scale,scale_colour_senjutsu,imports or depends
discovr,scale,scale_colour_sit,imports or depends
discovr,scale,scale_colour_ssoass,imports or depends
discovr,scale,scale_colour_tol,imports or depends
discovr,scale,scale_colour_virtual,imports or depends
discovr,scale,scale_fill_amolad,imports or depends
discovr,scale,scale_fill_bnw,imports or depends
discovr,scale,scale_fill_dod,imports or depends
discovr,scale,scale_fill_frontier,imports or depends
discovr,scale,scale_fill_im,imports or depends
discovr,scale,scale_fill_killers,imports or depends
discovr,scale,scale_fill_nob,imports or depends
discovr,scale,scale_fill_oi,imports or depends
discovr,scale,scale_fill_pom,imports or depends
discovr,scale,scale_fill_power,imports or depends
discovr,scale,scale_fill_prayer,imports or depends
discovr,scale,scale_fill_senjutsu,imports or depends
discovr,scale,scale_fill_sit,imports or depends
discovr,scale,scale_fill_ssoass,imports or depends
discovr,scale,scale_fill_tol,imports or depends
discovr,scale,scale_fill_virtual,imports or depends
distributions3,geom,geom_auc,imports or depends
distributions3,stat,stat_auc,imports or depends
dMod,scale,scale_color_dMod,imports or depends
dMod,scale,scale_fill_dMod,imports or depends
dMod,theme,theme_dMod,imports or depends
doBy,scale,scale_by,imports or depends
doBy,scale,scale_df,imports or depends
donutsk,geom,geom_donut_ext,imports or depends
donutsk,geom,geom_donut_ext0,imports or depends
donutsk,geom,geom_donut_ext_hl,imports or depends
donutsk,geom,geom_donut_int,imports or depends
donutsk,geom,geom_donut_int0,imports or depends
